price,seats_sold,transactions,total_revenue
10.0,13,10,130.0
10.5,3,3,31.5
11.0,23,23,253.0
11.25,12,12,135.0
11.5,86,86,989.0
11.75,38,38,446.5
12.0,43,43,516.0
12.5,2,2,25.0
12.75,8,8,102.0
13.25,8,8,106.0
14.0,205,205,2870.0
14.5,1,1,14.5
15.0,80,74,1200.0
15.25,4,4,61.0
15.5,18,18,279.0
15.75,48,48,756.0
16.0,295,295,4720.0
16.5,34,34,561.0
17.0,55,55,935.0
17.5,3,3,52.5
17.6,1,1,17.6
17.75,4,4,71.0
18.0,102,102,1836.0
18.4,1,1,18.4
18.5,2,2,37.0
18.75,12,12,225.0
19.0,10,10,190.0
19.2,2,2,38.4
19.55,2,2,39.1
20.0,405,352,8100.0
20.5,6,6,123.0
21.0,158,150,3318.0
21.5,16,16,344.0
22.0,394,300,8668.0
22.4,1,1,22.4
22.5,98,85,2205.0
22.66,10,5,226.6
23.0,970,792,22310.0
23.25,55,55,1278.75
23.5,118,85,2773.0
24.0,553,490,13272.0
24.25,33,33,800.25
24.5,2,2,49.0
25.0,141,132,3525.0
25.25,30,30,757.5
25.5,29,22,739.5
25.6,3,3,76.80000000000001
25.9,1,1,25.9
26.0,245,245,6370.0
26.25,10,10,262.5
26.5,35,30,927.5
26.66,2,1,53.32
27.0,36,36,972.0
27.25,1,1,27.25
27.5,6,6,165.0
28.0,144,143,4032.0
28.7,6,6,172.2
28.8,2,2,57.6
29.0,115,110,3335.0
29.25,40,40,1170.0
29.5,8,8,236.0
29.6,5,5,148.0
30.0,404,344,12120.0
30.25,21,21,635.25
30.5,69,52,2104.5
30.8,2,2,61.6
31.0,205,201,6355.0
31.5,299,187,9418.5
32.0,550,349,17600.0
32.5,23,23,747.5
32.8,3,3,98.39999999999999
33.0,865,777,28545.0
33.5,130,121,4355.0
33.75,1,1,33.75
34.0,522,392,17748.0
34.4,1,1,34.4
34.5,129,123,4450.5
34.85,2,2,69.7
35.0,268,257,9380.0
35.2,12,12,422.40000000000003
35.25,2,2,70.5
35.5,270,231,9585.0
35.7,8,8,285.6
36.0,599,374,21564.0
36.8,3,2,110.39999999999999
37.0,126,122,4662.0
37.5,99,49,3712.5
37.75,77,77,2906.75
38.0,263,252,9994.0
38.5,6,6,231.0
39.0,471,471,18369.0
39.1,4,2,156.4
39.5,30,30,1185.0
40.0,845,569,33800.0
40.01,2,1,80.02
40.75,44,44,1793.0
40.8,6,6,244.79999999999998
41.0,403,383,16523.0
42.0,495,358,20790.0
43.0,415,389,17845.0
43.2,6,6,259.20000000000005
44.0,955,550,42020.0
44.8,2,1,89.6
45.0,803,685,36135.0
45.5,2,2,91.0
46.0,2358,1283,108468.0
46.25,34,34,1572.5
46.5,106,53,4929.0
46.75,1,1,46.75
47.0,499,400,23453.0
47.25,12,4,567.0
48.0,1622,843,77856.0
48.5,205,129,9942.5
48.8,1,1,48.8
49.0,113,111,5537.0
49.25,4,4,197.0
49.5,3,1,148.5
49.6,2,2,99.2
50.0,856,613,42800.0
50.25,13,13,653.25
50.4,4,4,201.6
50.5,75,50,3787.5
51.0,566,527,28866.0
51.2,6,3,307.20000000000005
51.25,28,28,1435.0
51.5,11,11,566.5
51.8,6,3,310.79999999999995
52.0,741,393,38532.0
52.5,62,31,3255.0
53.0,138,120,7314.0
53.5,61,61,3263.5
53.6,1,1,53.6
53.9,1,1,53.9
54.0,464,375,25056.0
54.5,55,40,2997.5
55.0,187,156,10285.0
55.2,3,1,165.60000000000002
56.0,840,659,47040.0
56.25,24,8,1350.0
56.5,10,5,565.0
56.8,2,2,113.6
57.0,131,124,7467.0
57.4,18,9,1033.2
57.75,17,17,981.75
58.0,380,212,22040.0
58.5,204,102,11934.0
59.0,155,133,9145.0
59.2,8,4,473.6
59.5,4,2,238.0
59.75,2,2,119.5
60.0,982,584,58920.0
60.5,48,24,2904.0
60.8,2,2,121.6
61.0,339,289,20679.0
61.2,1,1,61.2
61.5,67,33,4120.5
61.6,21,15,1293.6000000000001
61.75,25,25,1543.75
62.0,671,404,41602.0
62.5,1,1,62.5
63.0,124,72,7812.0
64.0,746,409,47744.0
65.0,182,98,11830.0
65.5,2,2,131.0
65.6,8,4,524.8
66.0,3349,1767,221034.0
66.5,2,1,133.0
67.0,644,414,43148.0
67.5,45,22,3037.5
68.0,1178,617,80104.0
68.25,4,4,273.0
68.8,4,2,275.2
69.0,1237,685,85353.0
69.25,43,43,2977.75
69.7,10,5,697.0
69.75,9,3,627.75
70.0,930,536,65100.0
70.4,62,31,4364.8
70.5,4,2,282.0
71.0,927,526,65817.0
71.4,26,13,1856.4
71.5,4,4,286.0
72.0,825,489,59400.0
72.75,60,20,4365.0
72.9,2,2,145.8
73.6,6,2,441.59999999999997
74.0,373,194,27602.0
74.5,39,39,2905.5
75.0,112,56,8400.0
75.5,344,172,25972.0
76.0,750,427,57000.0
76.5,12,4,918.0
77.0,82,67,6314.0
78.0,2026,1041,158028.0
78.4,4,2,313.6
78.75,24,8,1890.0
79.0,292,249,23068.0
79.5,12,4,954.0
80.0,724,363,57920.0
81.0,70,70,5670.0
81.5,24,12,1956.0
81.6,17,8,1387.1999999999998
82.0,1243,642,101926.0
82.4,3,3,247.20000000000002
82.5,17,6,1402.5
82.75,160,160,13240.0
83.0,82,81,6806.0
84.0,595,279,49980.0
85.0,89,86,7565.0
85.5,3,1,256.5
86.0,794,400,68284.0
86.1,6,2,516.5999999999999
86.4,6,3,518.4000000000001
86.5,2,1,173.0
86.7,10,5,867.0
87.0,22,8,1914.0
88.0,782,425,68816.0
88.5,21,7,1858.5
88.8,6,2,532.8
89.0,9,9,801.0
89.25,3,1,267.75
90.0,3433,1713,308970.0
90.4,1,1,90.4
91.0,21,20,1911.0
91.5,33,11,3019.5
92.0,904,418,83168.0
92.25,3,1,276.75
92.5,320,160,29600.0
93.0,206,96,19158.0
94.0,2475,1256,232650.0
95.0,168,168,15960.0
95.5,17,17,1623.5
96.0,371,156,35616.0
96.6,6,1,579.5999999999999
97.0,304,147,29488.0
97.5,51,17,4972.5
97.6,8,4,780.8
98.0,652,338,63896.0
98.4,3,1,295.20000000000005
98.5,63,40,6205.5
99.0,376,130,37224.0
99.2,8,4,793.6
100.0,2158,1248,215800.0
100.5,80,32,8040.0
100.8,8,4,806.4
101.0,82,44,8282.0
101.25,9,3,911.25
102.0,2556,1332,260712.0
102.5,164,82,16810.0
102.75,36,36,3699.0
103.0,279,214,28737.0
103.2,3,1,309.6
103.5,33,11,3415.5
103.6,4,1,414.4
104.0,426,186,44304.0
104.55,9,3,940.9499999999999
105.0,252,87,26460.0
105.6,3,1,316.79999999999995
106.0,783,573,82998.0
106.5,93,31,9904.5
107.0,403,207,43121.0
107.1,3,1,321.29999999999995
107.2,2,1,214.4
107.75,41,41,4417.75
107.8,6,3,646.8
108.0,1202,583,129816.0
109.0,304,249,33136.0
110.0,757,391,83270.0
111.0,364,272,40404.0
112.0,2485,1232,278320.0
113.0,83,83,9379.0
113.25,9,3,1019.25
114.0,595,303,67830.0
115.0,68,14,7820.0
115.2,2,1,230.4
115.5,108,53,12474.0
116.0,231,146,26796.0
117.0,267,89,31239.0
118.0,268,135,31624.0
118.4,4,1,473.6
118.5,12,4,1422.0
119.0,61,61,7259.0
119.5,12,6,1434.0
120.0,1135,542,136200.0
121.0,48,45,5808.0
121.25,40,8,4850.0
121.6,8,4,972.8
122.0,1048,513,127856.0
122.4,13,5,1591.2
123.0,225,86,27675.0
123.2,28,13,3449.6
123.5,46,23,5681.0
124.0,746,391,92504.0
125.0,60,34,7500.0
126.0,189,153,23814.0
128.0,369,180,47232.0
129.0,133,45,17157.0
129.5,5,1,647.5
130.0,138,49,17940.0
130.05,3,1,390.15000000000003
131.0,16,15,2096.0
131.25,3,1,393.75
132.0,953,386,125796.0
133.0,3,3,399.0
134.0,695,344,93130.0
135.0,347,123,46845.0
136.0,340,151,46240.0
136.5,20,10,2730.0
137.0,1,1,137.0
137.5,10,2,1375.0
138.0,1007,465,138966.0
138.5,46,23,6371.0
138.75,12,4,1665.0
139.0,9,9,1251.0
140.0,534,233,74760.0
140.8,4,1,563.2
141.0,107,36,15087.0
142.0,620,304,88040.0
142.8,4,1,571.2
143.0,88,44,12584.0
144.0,877,410,126288.0
144.2,2,1,288.4
144.5,1,1,144.5
145.0,7,3,1015.0
145.5,18,6,2619.0
145.8,4,2,583.2
146.0,4,2,584.0
147.0,36,12,5292.0
148.0,108,38,15984.0
148.5,3,1,445.5
148.8,6,2,892.8000000000001
149.0,367,184,54683.0
150.0,288,106,43200.0
151.0,32,8,4832.0
151.2,6,2,907.1999999999999
151.5,6,2,909.0
152.0,650,304,98800.0
153.0,507,169,77571.0
153.75,5,1,768.75
154.0,156,77,24024.0
154.5,6,2,927.0
155.0,30,6,4650.0
156.0,809,343,126204.0
158.0,470,235,74260.0
159.0,117,39,18603.0
160.0,138,56,22080.0
160.5,39,13,6259.5
161.0,21,3,3381.0
162.0,345,155,55890.0
163.2,26,12,4243.2
163.5,12,4,1962.0
164.0,451,173,73964.0
164.8,4,2,659.2
165.0,170,51,28050.0
165.5,346,173,57263.0
166.0,322,161,53452.0
168.0,451,151,75768.0
170.0,280,140,47600.0
170.4,3,1,511.20000000000005
171.0,54,18,9234.0
172.0,130,44,22360.0
172.2,6,1,1033.1999999999998
172.8,3,1,518.4000000000001
173.4,4,1,693.6
174.0,36,12,6264.0
175.0,49,9,8575.0
175.1,14,7,2451.4
176.0,292,118,51392.0
177.0,66,22,11682.0
178.0,20,10,3560.0
180.0,692,219,124560.0
180.8,2,1,361.6
181.0,12,6,2172.0
182.0,125,60,22750.0
183.0,168,56,30744.0
183.6,6,2,1101.6
184.0,306,125,56304.0
184.8,3,1,554.4000000000001
185.0,50,11,9250.0
186.0,244,103,45384.0
187.5,6,2,1125.0
188.0,392,164,73696.0
188.75,15,3,2831.25
189.0,9,3,1701.0
190.0,563,271,106970.0
191.0,80,40,15280.0
192.0,103,33,19776.0
194.0,10,4,1940.0
195.0,58,14,11310.0
196.0,87,37,17052.0
197.0,244,122,48068.0
198.0,73,22,14454.0
200.0,1985,957,397000.0
201.0,147,49,29547.0
202.0,20,10,4040.0
204.0,1660,675,338640.0
204.75,3,1,614.25
205.0,70,14,14350.0
205.5,172,86,35346.0
206.0,492,246,101352.0
207.0,183,59,37881.0
208.0,44,8,9152.0
210.0,91,26,19110.0
211.2,6,1,1267.1999999999998
212.0,1970,970,417640.0
213.0,63,21,13419.0
214.0,64,31,13696.0
214.5,12,4,2574.0
215.0,25,5,5375.0
215.5,186,93,40083.0
215.6,4,1,862.4
216.0,292,88,63072.0
218.0,958,479,208844.0
220.0,306,123,67320.0
222.0,580,283,128760.0
224.0,366,92,81984.0
225.0,74,18,16650.0
226.0,416,208,94016.0
227.0,3,1,681.0
228.0,311,122,70908.0
230.0,61,20,14030.0
231.0,48,16,11088.0
232.0,178,79,41296.0
234.0,155,49,36270.0
235.0,5,1,1175.0
236.0,42,15,9912.0
237.0,6,2,1422.0
238.0,162,81,38556.0
240.0,126,39,30240.0
242.0,76,38,18392.0
243.2,4,1,972.8
244.0,154,48,37576.0
245.0,10,2,2450.0
246.0,107,32,26322.0
246.4,8,2,1971.2
247.5,18,2,4455.0
248.0,524,222,129952.0
249.0,87,29,21663.0
250.0,176,76,44000.0
252.0,278,133,70056.0
255.0,181,39,46155.0
256.0,72,21,18432.0
258.0,39,18,10062.0
259.0,14,2,3626.0
260.0,50,21,13000.0
262.0,8,4,2096.0
264.0,108,29,28512.0
265.0,15,3,3975.0
265.6,4,1,1062.4
266.0,23,9,6118.0
267.0,6,2,1602.0
268.0,110,32,29480.0
270.0,154,49,41580.0
272.0,92,32,25024.0
273.0,15,5,4095.0
275.0,30,5,8250.0
276.0,223,62,61548.0
277.0,4,1,1108.0
278.0,32,16,8896.0
279.0,21,7,5859.0
280.0,245,68,68600.0
282.0,6,3,1692.0
284.0,22,7,6248.0
285.0,25,5,7125.0
286.0,18,5,5148.0
287.0,7,1,2009.0
288.0,122,30,35136.0
290.0,23,10,6670.0
294.0,3,1,882.0
295.5,3,1,886.5
296.0,12,3,3552.0
297.0,3,1,891.0
298.0,30,8,8940.0
300.0,68,22,20400.0
301.0,7,1,2107.0
304.0,16,4,4864.0
305.0,25,5,7625.0
306.0,150,37,45900.0
308.0,71,17,21868.0
308.25,33,11,10172.25
309.0,81,26,25029.0
310.0,48,12,14880.0
312.0,112,28,34944.0
315.0,15,3,4725.0
316.0,8,2,2528.0
318.0,36,11,11448.0
320.0,26,6,8320.0
323.25,21,7,6788.25
323.4,6,1,1940.3999999999999
324.0,33,6,10692.0
327.0,84,28,27468.0
328.0,32,5,10496.0
330.0,72,20,23760.0
331.0,4,1,1324.0
332.0,80,20,26560.0
333.0,96,32,31968.0
335.0,20,4,6700.0
336.0,18,3,6048.0
339.0,33,11,11187.0
340.0,33,8,11220.0
342.0,54,16,18468.0
344.0,4,1,1376.0
345.0,69,15,23805.0
346.25,5,1,1731.25
348.0,33,11,11484.0
350.0,6,3,2100.0
352.0,44,10,15488.0
354.0,6,1,2124.0
357.0,51,13,18207.0
360.0,45,9,16200.0
363.0,12,4,4356.0
364.0,8,2,2912.0
366.0,6,2,2196.0
367.2,6,1,2203.2
368.0,32,8,11776.0
369.0,18,4,6642.0
370.0,7,2,2590.0
372.0,64,16,23808.0
